Position	Raw_counts	CPM
-97	3190	2177
-96	3688	2517
-95	7946	5424
-94	3415	2331
-93	3730	2546
-92	7925	5409
-91	3408	2326
-90	3943	2691
-89	7985	5450
-88	3399	2320
-87	3694	2521
-86	7909	5398
-85	3463	2364
-84	3793	2589
-83	7875	5375
-82	3249	2218
-81	3713	2534
-80	7792	5319
-79	3510	2396
-78	3910	2669
-77	7874	5374
-76	3248	2217
-75	3614	2467
-74	7807	5329
-73	3335	2276
-72	3679	2511
-71	7361	5024
-70	3328	2272
-69	3554	2426
-68	7533	5142
-67	3098	2115
-66	3394	2317
-65	7099	4846
-64	3060	2089
-63	3435	2345
-62	7159	4886
-61	3138	2142
-60	3198	2183
-59	6862	4684
-58	3107	2121
-57	3144	2146
-56	6683	4562
-55	2913	1988
-54	3271	2233
-53	6452	4404
-52	3081	2103
-51	3311	2260
-50	6358	4340
-49	2879	1965
-48	3006	2052
-47	6229	4252
-46	2944	2009
-45	3011	2055
-44	6249	4265
-43	2541	1734
-42	2943	2009
-41	5948	4060
-40	2380	1624
-39	2730	1863
-38	5554	3791
-37	2393	1633
-36	2640	1802
-35	5240	3577
-34	2396	1635
-33	2453	1674
-32	5201	3550
-31	2273	1551
-30	2395	1635
-29	4808	3282
-28	2199	1501
-27	2371	1618
-26	4777	3261
-25	2099	1433
-24	2192	1496
-23	4082	2786
-22	2049	1399
-21	2106	1437
-20	3787	2585
-19	1977	1349
-18	2112	1442
-17	3227	2203
-16	1974	1347
-15	1345	918
-14	1385	945
-13	1518	1036
-12	1207	824
-11	1453	992
-10	1468	1002
-9	1368	934
-8	1469	1003
-7	1508	1029
-6	1340	915
-5	1517	1035
-4	1491	1018
-3	1282	875
-2	1563	1067
-1	1580	1078
0	1211	827
1	1404	958
2	1666	1137
3	2474	1689
4	1334	911
5	1614	1102
6	1233	842
7	1287	878
8	1193	814
9	1228	838
10	1191	813
11	1158	790
12	1296	885
13	1065	727
14	1052	718
15	1146	782
16	1249	853
17	1180	805
18	1202	820
19	1155	788
20	1270	867
21	1062	725
22	1112	759
23	1111	758
24	1031	704
25	1148	784
26	1138	777
27	1037	708
28	975	665
29	994	678
30	1037	708
31	1064	726
32	1035	706
33	923	630
34	943	644
35	954	651
36	947	646
37	939	641
38	884	603
39	843	575
40	868	592
41	867	592
42	886	605
43	900	614
44	830	567
45	876	598
46	829	566
47	843	575
48	876	598
49	770	526
50	822	561
51	806	550
52	781	533
53	716	489
54	797	544
55	693	473
56	742	506
57	718	490
58	759	518
59	729	498
60	756	516
61	730	498
62	647	442
63	708	483
64	638	435
65	685	468
66	657	448
67	581	397
68	626	427
69	579	395
70	596	407
71	512	349
72	559	382
73	655	447
74	571	390
75	530	362
76	566	386
77	568	388
78	485	331
79	510	348
80	513	350
81	550	375
82	538	367
83	502	343
84	553	377
85	504	344
86	517	353
87	535	365
88	530	362
89	472	322
90	558	381
91	466	318
92	485	331
93	446	304
94	487	332
95	442	302
96	416	284
97	484	330
98	434	296
99	414	283
100	446	304
101	441	301
102	418	285
