	fluc_rep01	fluc_rep02	fluc_rep03	control_rep01	control_rep02	control_rep03
ALA	0.10857697333037063	0.062123016666595726	0.04609901955819716	0.10161227261126449	0.09020750584846952	0.11062522775812554
ARG	0.12299474310752535	0.06911882974000462	0.06117106004757991	0.10436739839080003	0.10648399362841644	0.1301689139509607
ASN	0.11917283581469867	0.05960397956620234	0.043290319296260954	0.10720556899940722	0.07787172529829536	0.11661135007729849
ASP	0.0814008788115969	0.021407054445147452	0.01979488645885333	0.08815910906273867	0.040855478505658537	0.0810458631852357
CYS	0.07311631751506059	0.0529431484832787	0.05312730803513797	0.08277082891033283	0.04131045832220298	0.06788184984584554
GLN	0.08417534566894942	0.03761380098777959	0.024828902681136345	0.08016436984117724	0.04858936925454425	0.1374314658596251
GLU	0.08053260449664654	0.013826660194622992	0.034383090818570834	0.0791855759397591	0.03790576384101752	0.06784802505861928
GLY	0.09789056912479308	0.049561762209749595	0.04005081768230114	0.09298972441978116	0.07708132373737504	0.11013333596762923
HIS	0.09629802858100571	0.054580567184651284	0.043416788922769775	0.09884767853469037	0.054017375774962066	0.13345024964257113
ILE	0.10222569061341534	0.054669814621850006	0.041746963380308796	0.09602871229678095	0.06818172521661954	0.11686886706398614
LEU	0.10839934244840552	0.06505375190114542	0.0346649350110945	0.09097742100771361	0.07938353723774302	0.11910378287408681
LYS	0.0983531440219952	0.04815536720943036	0.043834769498044615	0.09162793183064395	0.08597038519524444	0.11955994797148507
PHE	0.08325693655075092	0.04829466196789247	0.030291588598474535	0.08483295535509217	0.06843617642632512	0.09023882352276735
PRO	0.14559841723794903	0.0867327751344307	0.06642049370212184	0.11736152540543811	0.1195954797552566	0.1877089268887717
SER	0.10753807736017305	0.0561389574544374	0.028912818762466513	0.08610498974325713	0.07582896037046583	0.10138335066620988
THR	0.122476659270455	0.07430298560223916	0.04024939270349418	0.09373038550014196	0.08612177977508756	0.10554721220670678
TRP	0.1115110735077903	0.038936494356602715	0.0589058662129045	0.11428069206302102	0.052837732969537955	0.10932214772590092
TYR	0.09567326372154657	0.04786794043999622	0.029475378404467546	0.08873250380721197	0.06180603457654149	0.09586819426339864
VAL	0.09402939950112225	0.0554139027963801	0.030688183321087248	0.09466302695267145	0.058690034540206486	0.09521742462154818
TERM	0.18827934252453984	0.14242727041569597	0.0730244878123246	0.164130989391016	0.042420048901144626	0.08950561629200612
MET	0.14397352564385138	0.08739967275907824	0.05409196451628429	0.11737288736463199	0.072938949546156	0.10925314635220482
