	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	transcript:YAL042W_mRNA	ERV46	458	790	47.0	21.0
1	transcript:YAL038W_mRNA	CDC19	188	1315	27.0	21.0
2	transcript:YAL038W_mRNA	CDC19	266	1237	98.0	21.0
3	transcript:YAL038W_mRNA	CDC19	721	782	27.0	21.0
4	transcript:YAL038W_mRNA	CDC19	980	523	79.0	21.0
5	transcript:YAL038W_mRNA	CDC19	991	512	25.0	21.0
6	transcript:YAL038W_mRNA	CDC19	1025	478	24.0	21.0
7	transcript:YAL038W_mRNA	CDC19	1100	403	23.0	21.0
8	transcript:YAL038W_mRNA	CDC19	1423	80	59.0	21.0
9	transcript:YAL036C_mRNA	RBG1	1009	101	28.0	21.0
10	transcript:YAL036C_mRNA	RBG1	1012	98	29.0	21.0
11	transcript:YAL036C_mRNA	RBG1	1021	89	27.0	21.0
12	transcript:YAL036C_mRNA	RBG1	1036	74	22.0	21.0
13	transcript:YAL036C_mRNA	RBG1	1090	20	28.0	21.0
14	transcript:YAL035W_mRNA	FUN12	128	2881	59.0	21.0
15	transcript:YAL035W_mRNA	FUN12	192	2817	26.0	21.0
16	transcript:YAL035W_mRNA	FUN12	545	2464	27.0	21.0
17	transcript:YAL035W_mRNA	FUN12	583	2426	28.0	21.0
18	transcript:YAL035W_mRNA	FUN12	588	2421	33.0	21.0
19	transcript:YAL035W_mRNA	FUN12	652	2357	51.0	21.0
20	transcript:YAL035W_mRNA	FUN12	661	2348	24.0	21.0
21	transcript:YAL035W_mRNA	FUN12	673	2336	35.0	21.0
22	transcript:YAL035W_mRNA	FUN12	736	2273	28.0	21.0
23	transcript:YAL035W_mRNA	FUN12	814	2195	28.0	21.0
24	transcript:YAL035W_mRNA	FUN12	817	2192	27.0	21.0
25	transcript:YAL035W_mRNA	FUN12	834	2175	39.0	21.0
26	transcript:YAL035W_mRNA	FUN12	835	2174	91.0	21.0
27	transcript:YAL035W_mRNA	FUN12	836	2173	25.0	21.0
28	transcript:YAL035W_mRNA	FUN12	837	2172	193.0	21.0
29	transcript:YAL035W_mRNA	FUN12	838	2171	226.0	21.0
30	transcript:YAL035W_mRNA	FUN12	839	2170	138.0	21.0
31	transcript:YAL035W_mRNA	FUN12	840	2169	83.0	21.0
32	transcript:YAL035W_mRNA	FUN12	841	2168	123.0	21.0
33	transcript:YAL035W_mRNA	FUN12	842	2167	32.0	21.0
34	transcript:YAL035W_mRNA	FUN12	846	2163	26.0	21.0
35	transcript:YAL035W_mRNA	FUN12	847	2162	24.0	21.0
36	transcript:YAL035W_mRNA	FUN12	883	2126	23.0	21.0
37	transcript:YAL035W_mRNA	FUN12	888	2121	24.0	21.0
38	transcript:YAL035W_mRNA	FUN12	889	2120	25.0	21.0
39	transcript:YAL035W_mRNA	FUN12	892	2117	73.0	21.0
40	transcript:YAL035W_mRNA	FUN12	893	2116	38.0	21.0
41	transcript:YAL035W_mRNA	FUN12	894	2115	44.0	21.0
42	transcript:YAL035W_mRNA	FUN12	895	2114	48.0	21.0
43	transcript:YAL035W_mRNA	FUN12	896	2113	22.0	21.0
44	transcript:YAL035W_mRNA	FUN12	897	2112	60.0	21.0
45	transcript:YAL035W_mRNA	FUN12	898	2111	58.0	21.0
46	transcript:YAL035W_mRNA	FUN12	899	2110	49.0	21.0
47	transcript:YAL035W_mRNA	FUN12	900	2109	34.0	21.0
48	transcript:YAL035W_mRNA	FUN12	901	2108	32.0	21.0
49	transcript:YAL035W_mRNA	FUN12	902	2107	22.0	21.0
50	transcript:YAL035W_mRNA	FUN12	903	2106	33.0	21.0
51	transcript:YAL035W_mRNA	FUN12	904	2105	48.0	21.0
52	transcript:YAL035W_mRNA	FUN12	905	2104	27.0	21.0
53	transcript:YAL035W_mRNA	FUN12	906	2103	46.0	21.0
54	transcript:YAL035W_mRNA	FUN12	907	2102	94.0	21.0
55	transcript:YAL035W_mRNA	FUN12	910	2099	35.0	21.0
56	transcript:YAL035W_mRNA	FUN12	911	2098	29.0	21.0
57	transcript:YAL035W_mRNA	FUN12	920	2089	26.0	21.0
58	transcript:YAL035W_mRNA	FUN12	924	2085	26.0	21.0
59	transcript:YAL035W_mRNA	FUN12	925	2084	25.0	21.0
60	transcript:YAL035W_mRNA	FUN12	929	2080	26.0	21.0
61	transcript:YAL035W_mRNA	FUN12	932	2077	58.0	21.0
62	transcript:YAL035W_mRNA	FUN12	952	2057	39.0	21.0
63	transcript:YAL035W_mRNA	FUN12	953	2056	29.0	21.0
64	transcript:YAL035W_mRNA	FUN12	954	2055	28.0	21.0
65	transcript:YAL035W_mRNA	FUN12	955	2054	42.0	21.0
66	transcript:YAL035W_mRNA	FUN12	956	2053	42.0	21.0
67	transcript:YAL035W_mRNA	FUN12	960	2049	31.0	21.0
68	transcript:YAL035W_mRNA	FUN12	961	2048	63.0	21.0
69	transcript:YAL035W_mRNA	FUN12	964	2045	23.0	21.0
70	transcript:YAL035W_mRNA	FUN12	972	2037	88.0	21.0
71	transcript:YAL035W_mRNA	FUN12	975	2034	26.0	21.0
72	transcript:YAL035W_mRNA	FUN12	976	2033	24.0	21.0
73	transcript:YAL035W_mRNA	FUN12	977	2032	27.0	21.0
74	transcript:YAL035W_mRNA	FUN12	978	2031	58.0	21.0
75	transcript:YAL035W_mRNA	FUN12	979	2030	25.0	21.0
76	transcript:YAL035W_mRNA	FUN12	984	2025	28.0	21.0
77	transcript:YAL035W_mRNA	FUN12	985	2024	29.0	21.0
78	transcript:YAL035W_mRNA	FUN12	998	2011	33.0	21.0
79	transcript:YAL035W_mRNA	FUN12	1076	1933	22.0	21.0
80	transcript:YAL035W_mRNA	FUN12	2341	668	33.0	21.0
81	transcript:YAL029C_mRNA	MYO4	4347	69	29.0	21.0
82	transcript:YAL025C_mRNA	MAK16	139	782	28.0	21.0
83	transcript:YAL025C_mRNA	MAK16	160	761	36.0	21.0
84	transcript:YAL025C_mRNA	MAK16	382	539	58.0	21.0
85	transcript:YAL025C_mRNA	MAK16	412	509	26.0	21.0
86	transcript:YAL025C_mRNA	MAK16	595	326	22.0	21.0
87	transcript:YAL025C_mRNA	MAK16	801	120	26.0	21.0
88	transcript:YAL025C_mRNA	MAK16	802	119	23.0	21.0
89	transcript:YAL025C_mRNA	MAK16	805	116	28.0	21.0
90	transcript:YAL025C_mRNA	MAK16	808	113	58.0	21.0
91	transcript:YAL025C_mRNA	MAK16	810	111	35.0	21.0
92	transcript:YAL024C_mRNA	LTE1	4119	189	25.0	21.0
93	transcript:YAL021C_mRNA	CCR4	1481	1033	76.0	21.0
94	transcript:YAL009W_mRNA	SPO7	745	35	31.0	21.0
95	transcript:YAL009W_mRNA	SPO7	759	21	22.0	21.0
96	transcript:YAL009W_mRNA	SPO7	760	20	30.0	21.0
97	transcript:YAL005C_mRNA	SSA1	311	1618	24.0	21.0
98	transcript:YAL005C_mRNA	SSA1	416	1513	24.0	21.0
99	transcript:YAL005C_mRNA	SSA1	550	1379	22.0	21.0
100	transcript:YAL005C_mRNA	SSA1	551	1378	25.0	21.0
101	transcript:YAL005C_mRNA	SSA1	554	1375	28.0	21.0
102	transcript:YAL005C_mRNA	SSA1	555	1374	27.0	21.0
103	transcript:YAL005C_mRNA	SSA1	556	1373	34.0	21.0
104	transcript:YAL005C_mRNA	SSA1	692	1237	42.0	21.0
105	transcript:YAL005C_mRNA	SSA1	1316	613	357.0	21.0
106	transcript:YAL005C_mRNA	SSA1	1411	518	48.0	21.0
107	transcript:YAL005C_mRNA	SSA1	1430	499	38.0	21.0
108	transcript:YAL005C_mRNA	SSA1	1807	122	32.0	21.0
109	transcript:YAL003W_mRNA	EFB1	208	413	33.0	21.0
110	transcript:YAL003W_mRNA	EFB1	214	407	29.0	21.0
111	transcript:YAL003W_mRNA	EFB1	217	404	34.0	21.0
112	transcript:YAL003W_mRNA	EFB1	224	397	36.0	21.0
113	transcript:YAL003W_mRNA	EFB1	232	389	28.0	21.0
114	transcript:YAL003W_mRNA	EFB1	238	383	42.0	21.0
115	transcript:YAL003W_mRNA	EFB1	242	379	42.0	21.0
116	transcript:YAL003W_mRNA	EFB1	244	377	32.0	21.0
117	transcript:YAL003W_mRNA	EFB1	245	376	40.0	21.0
118	transcript:YAL003W_mRNA	EFB1	246	375	30.0	21.0
119	transcript:YAL003W_mRNA	EFB1	247	374	31.0	21.0
120	transcript:YAL003W_mRNA	EFB1	248	373	29.0	21.0
121	transcript:YAL003W_mRNA	EFB1	249	372	42.0	21.0
122	transcript:YAL003W_mRNA	EFB1	254	367	23.0	21.0
123	transcript:YAL003W_mRNA	EFB1	255	366	41.0	21.0
124	transcript:YAL003W_mRNA	EFB1	256	365	35.0	21.0
125	transcript:YAL003W_mRNA	EFB1	266	355	31.0	21.0
126	transcript:YAL003W_mRNA	EFB1	268	353	39.0	21.0
127	transcript:YAL003W_mRNA	EFB1	271	350	38.0	21.0
128	transcript:YAL003W_mRNA	EFB1	272	349	27.0	21.0
129	transcript:YAL003W_mRNA	EFB1	274	347	22.0	21.0
130	transcript:YAL003W_mRNA	EFB1	275	346	35.0	21.0
131	transcript:YAL003W_mRNA	EFB1	277	344	44.0	21.0
132	transcript:YAL003W_mRNA	EFB1	280	341	27.0	21.0
133	transcript:YAL003W_mRNA	EFB1	292	329	27.0	21.0
134	transcript:YAL003W_mRNA	EFB1	313	308	26.0	21.0
135	transcript:YAL003W_mRNA	EFB1	316	305	33.0	21.0
136	transcript:YAL003W_mRNA	EFB1	317	304	26.0	21.0
