	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
CYS	51707	72700	45690	0.5780780287138263	1.0	42.740318759296166	-5	1.0	170097	36178	0.012916876128236181	0.034200597616054894
TERM	21691	30563	18319	0.6114255335611491	1.0	43.306930412480696	-17	3.0	70573	6157	0.0021982753696044603	0.08337791314948959
ASP	357292	536089	328810	0.6440494608125878	1.0	43.86294777166581	-8	1.0	1222191	162829	0.05813593960651692	0.054599532097300014
SER	405421	582545	352503	0.6203163073159914	1.0	43.45829705871601	-26	1.0	1340469	251664	0.08985330073349633	0.03874514361953646
GLN	208918	295198	187782	0.5736345495253588	1.0	42.664959285906306	-5	1.0	691898	109388	0.03905553778305875	0.04601018596227783
LYS	525456	758132	453031	0.6318963774202625	1.0	43.655632006790206	-11	1.0	1736619	203805	0.07276587813906725	0.06198281684233734
ILE	295882	427746	261583	0.6178731342332269	1.0	43.416689419829865	-5	1.0	985211	183305	0.06544662443159747	0.03909637900191518
PRO	202493	281905	168030	0.6056459666873535	1.0	43.20859926306044	-17	1.0	652428	120949	0.04318323983730549	0.03923845551370662
THR	266896	375647	234133	0.5844834703322965	1.0	42.849011493413755	-20	1.0	876676	163642	0.05842621049745218	0.03896959874099601
PHE	169559	245045	152975	0.6035954590982029	1.0	43.17372559590824	-5	1.0	567579	125685	0.04487416596211412	0.03284917481306357
ALA	326964	456971	292012	0.5622191409272321	1.0	42.471515790275916	-29	1.0	1075947	153840	0.05492653611498298	0.05087485718119021
GLY	315363	454867	279877	0.6119732943064795	1.0	43.31625253426555	-8	1.0	1050107	139713	0.04988267771862075	0.054673683029750175
HIS	94086	133088	84171	0.5784217640270755	1.0	42.74614976954825	-26	1.0	311345	59656	0.021299385325503278	0.03796377238255819
GLU	522699	763210	478220	0.6088267516755436	1.0	43.26270924631929	-8	1.0	1764129	183144	0.06538914151223636	0.07006792223765045
LEU	435875	619043	384084	0.5944878523097494	1.0	43.01891171798232	-5	1.0	1439002	268487	0.09585973025158238	0.03898699215014382
ARG	335456	471431	283006	0.6083616745589058	1.0	43.254796571773554	-11	1.0	1089893	124330	0.04439038114388867	0.06376605140490715
TRP	58820	84168	50585	0.6216650682113701	1.0	43.48127063175133	-17	1.0	193573	29075	0.010380843977789456	0.048429128377966195
VAL	316917	449453	286191	0.5757538866304943	1.0	42.70089809521728	-23	1.0	1052561	156838	0.05599693234010465	0.04881772921248727
ASN	283828	415592	248571	0.64266002168479	1.0	43.83923476066756	-5	1.0	947991	170620	0.06091761305212166	0.040416236663752325
TYR	139624	202481	126217	0.60722291260505	1.0	43.23542349067522	-5	1.0	468322	93281	0.03330474658958481	0.03652018441268007
MET	99141	139567	84895	0.6009698579123407	1.0	43.12908100357537	-5	1.0	323603	58246	0.020795963485135845	0.040413645590236524
