	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	76969	63858	48328	0.4564567594023445	0.0	40.69096772488171	-9	1.1032363678883705	189155	137676	0.05012464170288928	0.06283104497598554
ARG	59370	50551	34285	0.4850575134098125	0.0	41.17027030775419	-18	1.2284992420414351	144206	104119	0.037907315504976384	0.0633385386286813
ASN	60736	49096	34376	0.5412595589933661	0.0	42.11694219460779	-6	1.0421660958904109	144208	184316	0.06710518507299558	0.03578005580807832
ASP	74621	60921	42723	0.5260169984611136	0.0	41.859591058255965	-9	1.2532531056941076	178265	163535	0.059539304460341655	0.04985056271081891
CYS	10357	9333	6462	0.39113823660600133	0.0	39.60308962985623	-18	1.1009944964758134	26152	28468	0.010364539207979981	0.04201096400227586
GLN	46166	38232	28063	0.4779306714447784	0.0	41.05067534523079	-27	1.0706580600441884	112461	124701	0.04540074482837964	0.041242663189131924
GLU	92256	75207	54585	0.5075131844915661	0.0	41.54777345438824	-9	1.0817832986472424	222048	179749	0.06544244618853427	0.05649305743346155
GLY	73257	64146	45822	0.41395475693942274	0.0	39.98198935734752	-9	1.0638027765264753	183225	138193	0.05031286942420885	0.06063360388229552
HIS	21650	18415	12974	0.46410795710306324	0.0	40.81901996643979	-15	1.1440184757505774	53039	57366	0.02088563145303427	0.04228199353106371
ILE	68411	56732	40650	0.4905731883024325	0.0	41.26290012244184	-30	1.0386487553171273	165793	193790	0.07055444896425603	0.039124565197469756
LEU	101100	81985	58315	0.5272679882831155	0.0	41.88069594034797	-18	1.2729080118694363	241400	263929	0.09609043377205805	0.041827783383810054
LYS	102300	83441	58152	0.5310562010953346	0.0	41.944623256920046	-12	1.1681524926686218	243893	202598	0.0737612376864665	0.05505273237334701
PHE	41714	35300	25264	0.4620711679581938	0.0	40.7849195330374	-15	1.1389701299323969	102278	118865	0.04327599244613392	0.039349836216111
PRO	51880	40648	30177	0.5509197829862386	0.0	42.28026567784524	-12	1.3683885890516576	122705	123177	0.04484589173884186	0.04555618353711897
SER	81515	65748	48666	0.5108738718160213	0.0	41.604356680226005	-18	1.0494387536036311	195929	234449	0.08535744881170784	0.03821774285360585
THR	61792	49148	38430	0.49685156575162864	0.0	41.368414005489726	-6	1.064992232004143	149370	167819	0.061099009601798246	0.04070398680581768
TRP	11732	9461	6539	0.5523770710948686	0.0	42.304918505697394	-18	1.2036310944425503	27732	25916	0.009435415136785485	0.048935937971553725
TYR	35003	29621	21051	0.4662898038544038	0.0	40.855558797782315	-21	1.0613947375939206	85675	96184	0.0350183658557098	0.04073483633647445
VAL	73024	61601	46482	0.4343029774322598	0.0	40.32091526003965	-9	1.0830959684487291	181107	147487	0.05369659948599633	0.056156003386934925
TERM	3088	2736	1404	0.5770419848813928	0.0	42.72274488101826	-18	4.4067357512953365	7228	5520	0.0020097041038376244	0.059881650602629066
MET	17618	14137	10939	0.4907429235462488	0.0	41.2657516278634	-15	1.1345782722215916	42694	48816	0.017772774553068384	0.039996257173334736
