	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	129440	123100	117933	0.1030528324953581	0.0	34.93911837029959	-9	1.057972805933251	370473	137758	0.05022694698785253	0.06261026684307934
ARG	99085	94372	88811	0.11345295373067762	0.0	35.10316436861422	-18	1.0395619922288943	282268	104001	0.03791905162446937	0.0631873224249134
ASN	112328	106935	101147	0.11056542209168223	0.0	35.05758247245716	-15	1.0423937041521258	320410	183544	0.06692064894916015	0.04064168368410132
ASP	141250	135298	133431	0.07209884874982533	0.0	34.45298417723834	-9	1.0687858407079647	409979	163149	0.05948457566254702	0.05850365739779486
CYS	16295	15785	15103	0.07738289268406867	0.0	34.53574380603183	-21	1.031175207118748	47183	28437	0.01036820868111879	0.03862847778113573
GLN	90057	86906	83418	0.08062858770298573	0.0	34.58662498415783	-6	1.0254505479862754	260381	124173	0.04527381849564172	0.04881889424913877
GLU	190287	181350	180703	0.07197609799086505	0.0	34.45106275120397	-9	1.0323511327626165	552340	179594	0.06548046804785485	0.0716012317961353
GLY	118383	114650	106790	0.09654607429356349	0.0	34.83666496970482	-18	1.049669293733053	339823	138256	0.050408519162244945	0.057223524507042295
HIS	37302	35847	34125	0.09247525611429358	0.0	34.77263829073215	-15	1.0348238700337784	107274	57215	0.02086074690333761	0.04365061772449259
ILE	118966	112287	108155	0.11015019459869765	0.0	35.05103002875595	-15	1.0169123951381067	339408	193791	0.07065673342907802	0.0407750302956065
LEU	164439	156084	150155	0.1028944796710677	0.0	34.93662333909807	-27	1.0121504022768322	470678	252319	0.09199620375606471	0.043428993677942354
LYS	188244	178651	172548	0.10031514488651612	0.0	34.89599457217908	-15	1.0234748517881047	539443	202357	0.07377992066973152	0.06206305523843378
PHE	68175	65891	63268	0.07816652406032208	0.0	34.548025175590624	-21	1.0331353135313532	197334	119095	0.043422365681254786	0.038575735212126004
PRO	82599	76788	73374	0.13767645001910192	0.0	35.48661502571307	-12	1.103112628482185	232761	122848	0.04479071983887475	0.04411110584433285
SER	147898	140451	135836	0.09843486193635835	0.0	34.866390843617765	-21	1.0281680617723026	424185	244845	0.08927116272913917	0.040333869501811746
THR	106664	99549	97825	0.11214137990884068	0.0	35.082456798163385	-6	1.0421416785419635	304038	167381	0.06102757454212274	0.04228901117895385
TRP	17642	16720	15879	0.11418641316124088	0.0	35.11474691984634	-6	1.076918716698787	50241	26036	0.009492797454781054	0.04492518081279516
TYR	58546	56451	53504	0.09072930132832584	0.0	34.74519439053774	-27	1.0471765791001948	168501	96053	0.03502118888938718	0.04084109434118621
VAL	117655	112049	108244	0.0951389793774017	0.0	34.81452767881449	-9	1.0284730780672304	337948	147600	0.05381536735004162	0.05330517146359649
TERM	1944	1816	1571	0.19902023211162376	0.0	36.46595385481148	-18	2.435185185185185	5331	5472	0.0019951063017576405	0.022681324672749692
MET	30881	28806	27917	0.12278563453380938	0.0	35.25067348522899	-15	1.0547262070528804	87604	48787	0.01778787484353984	0.04180475135263165
