	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713957.1	XM_713957.1	0	1203	34.0	19.0
1	rna-XM_713957.1	XM_713957.1	47	1156	24.0	19.0
2	rna-XM_713954.1	XM_713954.1	91	512	190.0	19.0
3	rna-XM_713954.1	XM_713954.1	127	476	31.0	19.0
4	rna-XM_713954.1	XM_713954.1	369	234	20.0	19.0
5	rna-XM_019475060.1	XM_019475060.1	2611	1625	74.0	19.0
6	rna-XM_713024.2	XM_713024.2	4	452	20.0	19.0
7	rna-XM_019475064.1	XM_019475064.1	14	250	22.0	19.0
8	rna-XM_019475064.1	XM_019475064.1	166	98	25.0	19.0
9	rna-XM_019475067.1	XM_019475067.1	339	450	27.0	19.0
10	rna-XM_019475067.1	XM_019475067.1	364	425	37.0	19.0
11	rna-XM_707863.2	XM_707863.2	308	3517	54.0	19.0
12	rna-XM_716341.2	XM_716341.2	36	627	38.0	19.0
13	rna-XM_716341.2	XM_716341.2	147	516	199.0	19.0
14	rna-XM_716371.1	XM_716371.1	216	837	36.0	19.0
15	rna-XM_716397.1	XM_716397.1	141	180	31.0	19.0
16	rna-XM_716397.1	XM_716397.1	163	158	27.0	19.0
17	rna-XM_716399.1	XM_716399.1	428	181	79.0	19.0
18	rna-XM_716399.1	XM_716399.1	517	92	23.0	19.0
19	rna-XM_716399.1	XM_716399.1	522	87	89.0	19.0
20	rna-XM_716399.1	XM_716399.1	539	70	23.0	19.0
21	rna-XM_716405.2	XM_716405.2	464	1954	21.0	19.0
22	rna-XM_716407.2	XM_716407.2	668	103	22.0	19.0
23	rna-XM_716442.2	XM_716442.2	529	1361	22.0	19.0
24	rna-XM_716442.2	XM_716442.2	626	1264	26.0	19.0
25	rna-XM_716442.2	XM_716442.2	1615	275	23.0	19.0
26	rna-XM_716442.2	XM_716442.2	1833	57	31.0	19.0
27	rna-XM_716447.2	XM_716447.2	619	206	91.0	19.0
28	rna-XM_708542.1	XM_708542.1	134	1147	22.0	19.0
29	rna-XM_708542.1	XM_708542.1	178	1103	659.0	19.0
30	rna-XM_708542.1	XM_708542.1	196	1085	20.0	19.0
31	rna-XM_708542.1	XM_708542.1	230	1051	36.0	19.0
32	rna-XM_708542.1	XM_708542.1	245	1036	24.0	19.0
33	rna-XM_708542.1	XM_708542.1	257	1024	23.0	19.0
34	rna-XM_708542.1	XM_708542.1	332	949	42.0	19.0
35	rna-XM_708542.1	XM_708542.1	335	946	22.0	19.0
36	rna-XM_708542.1	XM_708542.1	338	943	24.0	19.0
37	rna-XM_708542.1	XM_708542.1	344	937	22.0	19.0
38	rna-XM_708542.1	XM_708542.1	347	934	21.0	19.0
39	rna-XM_708542.1	XM_708542.1	470	811	21.0	19.0
40	rna-XM_708542.1	XM_708542.1	473	808	20.0	19.0
41	rna-XM_708542.1	XM_708542.1	527	754	79.0	19.0
42	rna-XM_708542.1	XM_708542.1	534	747	46.0	19.0
43	rna-XM_708542.1	XM_708542.1	566	715	51.0	19.0
44	rna-XM_708553.2	XM_708553.2	798	690	33.0	19.0
45	rna-XM_708570.1	XM_708570.1	164	154	22.0	19.0
46	rna-XM_708576.2	XM_708576.2	239	1699	35.0	19.0
47	rna-XM_708576.2	XM_708576.2	367	1571	22.0	19.0
48	rna-XM_708576.2	XM_708576.2	629	1309	43.0	19.0
49	rna-XM_705314.2	XM_705314.2	1950	276	21.0	19.0
50	rna-XM_707150.2	XM_707150.2	212	1519	35.0	19.0
51	rna-XM_707150.2	XM_707150.2	341	1390	22.0	19.0
52	rna-XM_705770.2	XM_705770.2	2114	1978	27.0	19.0
53	rna-XM_705773.2	XM_705773.2	1364	601	35.0	19.0
54	rna-XM_019475109.1	XM_019475109.1	708	18	24.0	19.0
55	rna-XM_019475113.1	XM_019475113.1	80	319	33.0	19.0
56	rna-XM_019475113.1	XM_019475113.1	128	271	39.0	19.0
57	rna-XM_019475113.1	XM_019475113.1	206	193	27.0	19.0
58	rna-XM_713748.2	XM_713748.2	4	434	26.0	19.0
59	rna-XM_713748.2	XM_713748.2	57	381	47.0	19.0
60	rna-XM_713748.2	XM_713748.2	79	359	31.0	19.0
61	rna-XM_713748.2	XM_713748.2	133	305	26.0	19.0
62	rna-XM_713748.2	XM_713748.2	156	282	23.0	19.0
63	rna-XM_713748.2	XM_713748.2	161	277	23.0	19.0
64	rna-XM_713748.2	XM_713748.2	179	259	20.0	19.0
65	rna-XM_713748.2	XM_713748.2	221	217	34.0	19.0
66	rna-XM_713748.2	XM_713748.2	232	206	21.0	19.0
67	rna-XM_713748.2	XM_713748.2	238	200	34.0	19.0
68	rna-XM_713748.2	XM_713748.2	280	158	70.0	19.0
69	rna-XM_713748.2	XM_713748.2	299	139	67.0	19.0
70	rna-XM_713748.2	XM_713748.2	437	1	22.0	19.0
71	rna-XM_712555.2	XM_712555.2	1877	157	87.0	19.0
72	rna-XM_712560.1	XM_712560.1	634	827	33.0	19.0
73	rna-XM_706795.1	XM_706795.1	584	154	21.0	19.0
74	rna-XM_718326.2	XM_718326.2	2559	228	21.0	19.0
75	rna-XM_718333.2	XM_718333.2	1648	359	20.0	19.0
76	rna-XM_718339.2	XM_718339.2	1217	412	30.0	19.0
77	rna-XM_718495.2	XM_718495.2	125	2182	21.0	19.0
78	rna-XM_019475144.1	XM_019475144.1	206	115	33.0	19.0
79	rna-XM_706117.2	XM_706117.2	623	904	20.0	19.0
80	rna-XM_706117.2	XM_706117.2	753	774	184.0	19.0
81	rna-XM_705625.1	XM_705625.1	862	578	54.0	19.0
82	rna-XM_705625.1	XM_705625.1	1039	401	22.0	19.0
83	rna-XM_705625.1	XM_705625.1	1130	310	21.0	19.0
84	rna-XM_019475147.1	XM_019475147.1	263	151	250.0	19.0
85	rna-XM_708831.2	XM_708831.2	1134	885	23.0	19.0
86	rna-XM_708702.2	XM_708702.2	687	390	20.0	19.0
87	rna-XM_708702.2	XM_708702.2	776	301	98.0	19.0
88	rna-XM_019475158.1	XM_019475158.1	1637	2254	24.0	19.0
89	rna-XM_019475165.1	XM_019475165.1	323	88	106.0	19.0
90	rna-XM_705694.2	XM_705694.2	153	1770	21.0	19.0
91	rna-XM_706488.2	XM_706488.2	3464	937	26.0	19.0
92	rna-XM_706488.2	XM_706488.2	3485	916	42.0	19.0
93	rna-XM_706471.2	XM_706471.2	1748	1045	42.0	19.0
94	rna-XM_706471.2	XM_706471.2	2310	483	58.0	19.0
95	rna-XM_717055.2	XM_717055.2	3480	162	24.0	19.0
96	rna-XM_019475180.1	XM_019475180.1	2170	806	22.0	19.0
97	rna-XM_019475180.1	XM_019475180.1	2350	626	24.0	19.0
98	rna-XM_019475180.1	XM_019475180.1	2351	625	24.0	19.0
99	rna-XM_019475180.1	XM_019475180.1	2352	624	28.0	19.0
100	rna-XM_019475180.1	XM_019475180.1	2429	547	35.0	19.0
101	rna-XM_019475180.1	XM_019475180.1	2450	526	35.0	19.0
102	rna-XM_019475180.1	XM_019475180.1	2537	439	77.0	19.0
103	rna-XM_717124.1	XM_717124.1	1536	99	22.0	19.0
104	rna-XM_709943.1	XM_709943.1	32	808	27.0	19.0
105	rna-XM_709943.1	XM_709943.1	44	796	42.0	19.0
106	rna-XM_709943.1	XM_709943.1	51	789	906.0	19.0
107	rna-XM_709943.1	XM_709943.1	65	775	23.0	19.0
108	rna-XM_019475187.1	XM_019475187.1	1625	358	27.0	19.0
109	rna-XM_709968.1	XM_709968.1	68	871	26.0	19.0
110	rna-XM_705396.2	XM_705396.2	1182	489	57.0	19.0
111	rna-XM_705388.2	XM_705388.2	47	1657	20.0	19.0
112	rna-XM_717410.1	XM_717410.1	458	2413	24.0	19.0
113	rna-XM_717427.1	XM_717427.1	13	347	332.0	19.0
114	rna-XM_717427.1	XM_717427.1	73	287	150.0	19.0
115	rna-XM_717427.1	XM_717427.1	108	252	36.0	19.0
116	rna-XM_717527.2	XM_717527.2	104	5065	94.0	19.0
117	rna-XM_717527.2	XM_717527.2	221	4948	85.0	19.0
118	rna-XM_717527.2	XM_717527.2	239	4930	179.0	19.0
119	rna-XM_717527.2	XM_717527.2	3887	1282	23.0	19.0
120	rna-XM_019475213.1	XM_019475213.1	126	2403	23.0	19.0
121	rna-XM_019475213.1	XM_019475213.1	168	2361	27.0	19.0
122	rna-XM_019475213.1	XM_019475213.1	185	2344	24.0	19.0
123	rna-XM_019475213.1	XM_019475213.1	587	1942	27.0	19.0
124	rna-XM_710225.2	XM_710225.2	6542	3319	58.0	19.0
125	rna-XM_715896.2	XM_715896.2	796	1127	29.0	19.0
126	rna-XM_715872.2	XM_715872.2	59	2032	96.0	19.0
127	rna-XM_019475216.1	XM_019475216.1	94	389	78.0	19.0
128	rna-XM_019475216.1	XM_019475216.1	237	246	24.0	19.0
129	rna-XM_019475220.1	XM_019475220.1	72	228	21.0	19.0
130	rna-XM_019475220.1	XM_019475220.1	126	174	22.0	19.0
131	rna-XM_019475220.1	XM_019475220.1	162	138	37.0	19.0
132	rna-XM_715844.1	XM_715844.1	212	1867	71.0	19.0
133	rna-XM_715844.1	XM_715844.1	996	1083	40.0	19.0
134	rna-XM_715844.1	XM_715844.1	1081	998	44.0	19.0
135	rna-XM_715844.1	XM_715844.1	1082	997	23.0	19.0
136	rna-XM_715844.1	XM_715844.1	1083	996	36.0	19.0
137	rna-XM_715844.1	XM_715844.1	1134	945	44.0	19.0
138	rna-XM_715844.1	XM_715844.1	1151	928	22.0	19.0
139	rna-XM_715844.1	XM_715844.1	1170	909	39.0	19.0
140	rna-XM_715844.1	XM_715844.1	1211	868	23.0	19.0
141	rna-XM_715844.1	XM_715844.1	1290	789	33.0	19.0
142	rna-XM_715840.2	XM_715840.2	965	403	28.0	19.0
143	rna-XM_019475226.1	XM_019475226.1	236	52	24.0	19.0
144	rna-XM_707823.1	XM_707823.1	42	516	47.0	19.0
145	rna-XM_707823.1	XM_707823.1	157	401	27.0	19.0
146	rna-XM_707823.1	XM_707823.1	499	59	35.0	19.0
147	rna-XM_707822.2	XM_707822.2	845	2071	47.0	19.0
148	rna-XM_707822.2	XM_707822.2	947	1969	23.0	19.0
149	rna-XM_709806.2	XM_709806.2	2057	292	58.0	19.0
150	rna-XM_019475231.1	XM_019475231.1	36	303	33.0	19.0
151	rna-XM_709841.1	XM_709841.1	403	1112	21.0	19.0
152	rna-XM_709841.1	XM_709841.1	913	602	20.0	19.0
153	rna-XM_709845.1	XM_709845.1	567	135	27.0	19.0
154	rna-XM_707710.1	XM_707710.1	373	248	45.0	19.0
155	rna-XM_709187.2	XM_709187.2	1208	1060	27.0	19.0
156	rna-XM_710962.1	XM_710962.1	302	1201	45.0	19.0
157	rna-XM_019475256.1	XM_019475256.1	18	339	41.0	19.0
158	rna-XM_019475260.1	XM_019475260.1	347	1024	24.0	19.0
159	rna-XM_705056.2	XM_705056.2	17	1360	20.0	19.0
160	rna-XM_705056.2	XM_705056.2	174	1203	56.0	19.0
161	rna-XM_705056.2	XM_705056.2	324	1053	30.0	19.0
162	rna-XM_709350.1	XM_709350.1	523	2732	29.0	19.0
163	rna-XM_707506.1	XM_707506.1	712	1037	97.0	19.0
164	rna-XM_707492.2	XM_707492.2	107	475	42.0	19.0
165	rna-XM_709171.2	XM_709171.2	1109	655	25.0	19.0
166	rna-XM_709171.2	XM_709171.2	1139	625	25.0	19.0
167	rna-XM_705590.2	XM_705590.2	107	1063	29.0	19.0
