	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	transcript:YAL044C_mRNA	GCV3	419	94	45.0	24.0
1	transcript:YAL042W_mRNA	ERV46	458	790	45.0	24.0
2	transcript:YAL038W_mRNA	CDC19	4	1499	30.0	24.0
3	transcript:YAL038W_mRNA	CDC19	46	1457	33.0	24.0
4	transcript:YAL038W_mRNA	CDC19	49	1454	40.0	24.0
5	transcript:YAL038W_mRNA	CDC19	721	782	54.0	24.0
6	transcript:YAL038W_mRNA	CDC19	980	523	27.0	24.0
7	transcript:YAL038W_mRNA	CDC19	1420	83	25.0	24.0
8	transcript:YAL038W_mRNA	CDC19	1423	80	300.0	24.0
9	transcript:YAL036C_mRNA	RBG1	760	350	27.0	24.0
10	transcript:YAL036C_mRNA	RBG1	898	212	53.0	24.0
11	transcript:YAL036C_mRNA	RBG1	928	182	39.0	24.0
12	transcript:YAL036C_mRNA	RBG1	937	173	33.0	24.0
13	transcript:YAL036C_mRNA	RBG1	943	167	37.0	24.0
14	transcript:YAL036C_mRNA	RBG1	967	143	26.0	24.0
15	transcript:YAL036C_mRNA	RBG1	1009	101	26.0	24.0
16	transcript:YAL036C_mRNA	RBG1	1033	77	38.0	24.0
17	transcript:YAL036C_mRNA	RBG1	1036	74	31.0	24.0
18	transcript:YAL036C_mRNA	RBG1	1039	71	79.0	24.0
19	transcript:YAL036C_mRNA	RBG1	1042	68	86.0	24.0
20	transcript:YAL036C_mRNA	RBG1	1045	65	26.0	24.0
21	transcript:YAL035W_mRNA	FUN12	7	3002	41.0	24.0
22	transcript:YAL035W_mRNA	FUN12	10	2999	25.0	24.0
23	transcript:YAL035W_mRNA	FUN12	16	2993	26.0	24.0
24	transcript:YAL035W_mRNA	FUN12	25	2984	94.0	24.0
25	transcript:YAL035W_mRNA	FUN12	28	2981	29.0	24.0
26	transcript:YAL035W_mRNA	FUN12	31	2978	28.0	24.0
27	transcript:YAL035W_mRNA	FUN12	43	2966	41.0	24.0
28	transcript:YAL035W_mRNA	FUN12	46	2963	44.0	24.0
29	transcript:YAL035W_mRNA	FUN12	49	2960	65.0	24.0
30	transcript:YAL035W_mRNA	FUN12	52	2957	34.0	24.0
31	transcript:YAL035W_mRNA	FUN12	70	2939	58.0	24.0
32	transcript:YAL035W_mRNA	FUN12	73	2936	29.0	24.0
33	transcript:YAL035W_mRNA	FUN12	433	2576	30.0	24.0
34	transcript:YAL035W_mRNA	FUN12	463	2546	27.0	24.0
35	transcript:YAL035W_mRNA	FUN12	538	2471	28.0	24.0
36	transcript:YAL035W_mRNA	FUN12	541	2468	28.0	24.0
37	transcript:YAL035W_mRNA	FUN12	544	2465	30.0	24.0
38	transcript:YAL035W_mRNA	FUN12	565	2444	35.0	24.0
39	transcript:YAL035W_mRNA	FUN12	580	2429	30.0	24.0
40	transcript:YAL035W_mRNA	FUN12	581	2428	25.0	24.0
41	transcript:YAL035W_mRNA	FUN12	584	2425	27.0	24.0
42	transcript:YAL035W_mRNA	FUN12	619	2390	26.0	24.0
43	transcript:YAL035W_mRNA	FUN12	628	2381	34.0	24.0
44	transcript:YAL035W_mRNA	FUN12	634	2375	57.0	24.0
45	transcript:YAL035W_mRNA	FUN12	637	2372	28.0	24.0
46	transcript:YAL035W_mRNA	FUN12	685	2324	39.0	24.0
47	transcript:YAL035W_mRNA	FUN12	721	2288	26.0	24.0
48	transcript:YAL035W_mRNA	FUN12	728	2281	28.0	24.0
49	transcript:YAL035W_mRNA	FUN12	733	2276	25.0	24.0
50	transcript:YAL035W_mRNA	FUN12	736	2273	26.0	24.0
51	transcript:YAL035W_mRNA	FUN12	739	2270	39.0	24.0
52	transcript:YAL035W_mRNA	FUN12	753	2256	46.0	24.0
53	transcript:YAL035W_mRNA	FUN12	812	2197	32.0	24.0
54	transcript:YAL035W_mRNA	FUN12	818	2191	27.0	24.0
55	transcript:YAL035W_mRNA	FUN12	820	2189	30.0	24.0
56	transcript:YAL035W_mRNA	FUN12	823	2186	28.0	24.0
57	transcript:YAL035W_mRNA	FUN12	839	2170	72.0	24.0
58	transcript:YAL035W_mRNA	FUN12	841	2168	34.0	24.0
59	transcript:YAL035W_mRNA	FUN12	850	2159	43.0	24.0
60	transcript:YAL035W_mRNA	FUN12	853	2156	37.0	24.0
61	transcript:YAL035W_mRNA	FUN12	874	2135	25.0	24.0
62	transcript:YAL035W_mRNA	FUN12	880	2129	58.0	24.0
63	transcript:YAL035W_mRNA	FUN12	886	2123	42.0	24.0
64	transcript:YAL035W_mRNA	FUN12	889	2120	36.0	24.0
65	transcript:YAL035W_mRNA	FUN12	891	2118	33.0	24.0
66	transcript:YAL035W_mRNA	FUN12	892	2117	61.0	24.0
67	transcript:YAL035W_mRNA	FUN12	893	2116	29.0	24.0
68	transcript:YAL035W_mRNA	FUN12	894	2115	47.0	24.0
69	transcript:YAL035W_mRNA	FUN12	895	2114	142.0	24.0
70	transcript:YAL035W_mRNA	FUN12	897	2112	61.0	24.0
71	transcript:YAL035W_mRNA	FUN12	898	2111	47.0	24.0
72	transcript:YAL035W_mRNA	FUN12	899	2110	30.0	24.0
73	transcript:YAL035W_mRNA	FUN12	900	2109	26.0	24.0
74	transcript:YAL035W_mRNA	FUN12	901	2108	57.0	24.0
75	transcript:YAL035W_mRNA	FUN12	904	2105	38.0	24.0
76	transcript:YAL035W_mRNA	FUN12	905	2104	28.0	24.0
77	transcript:YAL035W_mRNA	FUN12	906	2103	27.0	24.0
78	transcript:YAL035W_mRNA	FUN12	907	2102	61.0	24.0
79	transcript:YAL035W_mRNA	FUN12	910	2099	98.0	24.0
80	transcript:YAL035W_mRNA	FUN12	911	2098	30.0	24.0
81	transcript:YAL035W_mRNA	FUN12	920	2089	46.0	24.0
82	transcript:YAL035W_mRNA	FUN12	931	2078	31.0	24.0
83	transcript:YAL035W_mRNA	FUN12	932	2077	52.0	24.0
84	transcript:YAL035W_mRNA	FUN12	952	2057	27.0	24.0
85	transcript:YAL035W_mRNA	FUN12	953	2056	26.0	24.0
