	count	period	signal
0	192		
1	1	2.052	1.0000000000000002
2	204	242.25	154.82120161869386
3	414		
4	105	430.0	30.27433588099327
5	81		
6	26		
7	60	2.7927927927927927	24.31462903410058
8	98	2.249075215782984	35.091892997733524
9	26	5.764705882352941	14.473817358307759
10	106		
11	244		
12	137	690.0	32.710004291063974
13	2810		
14	12	10.109375	8.567413904899615
15	1604		
16	0		
17	1	9.631578947368421	1.0000000000000002
18	206		
19	95		
20	68		
21	13	4.047794117647059	9.40261713482621
22	0		
23	7	2.353645266594124	6.519305496110234
24	14		
25	35		
26	30	5.172413793103448	13.33935269792657
27	472		
28	20	2.0168539325842696	13.082361100765524
29	13	3.6013986013986012	8.895845001477245
30	3	3.951219512195122	2.9908880269668723
31	88		
32	110		
33	140		
34	12	9.242424242424242	9.145406490911624
35	24	2.209039548022599	12.208406182952473
36	25	4.460807600950119	12.348451585956395
37	357		
38	36	2.422222222222222	15.318318216441025
39	60	130.5	30.105998105107034
40	17	2.5073891625615765	10.361073581820344
41	560		
42	7	3.978723404255319	6.037723384608053
43	158		
44	22	4.300380228136882	12.311414618127172
45	50		
46	23	8.337539432176657	13.427817936327195
47	72	18.372093023255815	26.39136311768683
48	16	72.82758620689656	11.285448415800856
49	290		
50	185		
51	6	87.0	5.643486725591318
52	469		
53	89	2.0104515050167224	34.828705901841886
54	70	2.35	19.67907729750326
55	27	13.939024390243903	13.717301896461944
56	5	2.645380434782609	4.781158760787535
57	517		
58	293		
59	41	4.11864406779661	18.069213185520073
60	12	7.025179856115108	8.16955864868415
61	4	6.530898876404494	3.961806749031064
62	23	9.827272727272728	12.538638672454589
63	66	2.6129032258064515	29.590910545621494
64	54	3.8969849246231156	26.633314764094763
65	62		
66	49	3.38125	18.899098041364976
67	568		
68	25		
69	6	2.491139240506329	5.599744167912242
70	1	20.472	1.0000000000000009
71	36	2.438202247191011	17.285652912728423
72	308		
73	22	4.071428571428571	14.648261800092934
74	28		
75	9		
76	196		
77	1	3.0879478827361564	1.0000000000000007
78	6	2.3223938223938223	5.407633037907213
79	95		
80	15	7.278884462151394	9.257666124195456
81	29	7.562700964630225	15.048624464228926
82	124		
83	39	8.421052631578947	16.733017933962
84	68	576.8571428571429	33.486972331262365
85	743		
86	28	7.384615384615385	14.884770354781143
87	161		
88	460		
89	14		
90	20		
