	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713957.1	XM_713957.1	0	1203	100.0	20.0
1	rna-XM_713957.1	XM_713957.1	1	1202	26.0	20.0
2	rna-XM_713957.1	XM_713957.1	13	1190	21.0	20.0
3	rna-XM_713957.1	XM_713957.1	20	1183	23.0	20.0
4	rna-XM_713957.1	XM_713957.1	40	1163	39.0	20.0
5	rna-XM_713957.1	XM_713957.1	43	1160	37.0	20.0
6	rna-XM_713957.1	XM_713957.1	47	1156	47.0	20.0
7	rna-XM_713957.1	XM_713957.1	48	1155	29.0	20.0
8	rna-XM_713957.1	XM_713957.1	50	1153	38.0	20.0
9	rna-XM_713957.1	XM_713957.1	53	1150	24.0	20.0
10	rna-XM_713957.1	XM_713957.1	55	1148	33.0	20.0
11	rna-XM_713957.1	XM_713957.1	74	1129	22.0	20.0
12	rna-XM_713957.1	XM_713957.1	77	1126	32.0	20.0
13	rna-XM_713957.1	XM_713957.1	78	1125	24.0	20.0
14	rna-XM_713957.1	XM_713957.1	80	1123	22.0	20.0
15	rna-XM_713957.1	XM_713957.1	92	1111	31.0	20.0
16	rna-XM_713957.1	XM_713957.1	93	1110	33.0	20.0
17	rna-XM_713957.1	XM_713957.1	94	1109	54.0	20.0
18	rna-XM_713954.1	XM_713954.1	91	512	237.0	20.0
19	rna-XM_713954.1	XM_713954.1	127	476	56.0	20.0
20	rna-XM_713954.1	XM_713954.1	369	234	26.0	20.0
21	rna-XM_713900.2	XM_713900.2	1134	1392	22.0	20.0
22	rna-XM_019475060.1	XM_019475060.1	1637	2599	28.0	20.0
23	rna-XM_019475060.1	XM_019475060.1	2611	1625	70.0	20.0
24	rna-XM_713024.2	XM_713024.2	4	452	26.0	20.0
25	rna-XM_713051.1	XM_713051.1	903	624	22.0	20.0
26	rna-XM_019475064.1	XM_019475064.1	14	250	50.0	20.0
27	rna-XM_019475064.1	XM_019475064.1	15	249	22.0	20.0
28	rna-XM_019475064.1	XM_019475064.1	166	98	48.0	20.0
29	rna-XM_019475067.1	XM_019475067.1	339	450	40.0	20.0
30	rna-XM_019475067.1	XM_019475067.1	364	425	57.0	20.0
31	rna-XM_019475067.1	XM_019475067.1	405	384	25.0	20.0
32	rna-XM_019475067.1	XM_019475067.1	412	377	27.0	20.0
33	rna-XM_019475068.1	XM_019475068.1	1861	1199	24.0	20.0
34	rna-XM_707863.2	XM_707863.2	308	3517	78.0	20.0
35	rna-XM_716341.2	XM_716341.2	36	627	63.0	20.0
36	rna-XM_716341.2	XM_716341.2	49	614	29.0	20.0
37	rna-XM_716341.2	XM_716341.2	147	516	163.0	20.0
38	rna-XM_716371.1	XM_716371.1	216	837	51.0	20.0
39	rna-XM_716387.1	XM_716387.1	796	635	42.0	20.0
40	rna-XM_716388.2	XM_716388.2	80	1033	26.0	20.0
41	rna-XM_716397.1	XM_716397.1	141	180	53.0	20.0
42	rna-XM_716397.1	XM_716397.1	163	158	29.0	20.0
43	rna-XM_716399.1	XM_716399.1	353	256	38.0	20.0
44	rna-XM_716399.1	XM_716399.1	428	181	119.0	20.0
45	rna-XM_716399.1	XM_716399.1	475	134	34.0	20.0
