	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	20.0	18.0
1	rna-XM_713954.1	XM_713954.1	91	512	29.0	18.0
2	rna-XM_707863.2	XM_707863.2	308	3517	20.0	18.0
3	rna-XM_716341.2	XM_716341.2	147	516	27.0	18.0
4	rna-XM_716442.2	XM_716442.2	582	1308	37.0	18.0
5	rna-XM_708542.1	XM_708542.1	178	1103	82.0	18.0
6	rna-XM_019475113.1	XM_019475113.1	128	271	25.0	18.0
7	rna-XM_706117.2	XM_706117.2	753	774	22.0	18.0
8	rna-XM_019475147.1	XM_019475147.1	263	151	40.0	18.0
9	rna-XM_709943.1	XM_709943.1	51	789	156.0	18.0
10	rna-XM_705397.2	XM_705397.2	31	500	22.0	18.0
11	rna-XM_705397.2	XM_705397.2	53	478	55.0	18.0
12	rna-XM_717427.1	XM_717427.1	13	347	41.0	18.0
13	rna-XM_707506.1	XM_707506.1	712	1037	43.0	18.0
14	rna-XM_713429.2	XM_713429.2	203	3430	76.0	18.0
15	rna-XM_019475323.1	XM_019475323.1	44	760	26.0	18.0
16	rna-XM_019475325.1	XM_019475325.1	46	317	25.0	18.0
17	rna-XM_019475325.1	XM_019475325.1	98	265	29.0	18.0
18	rna-XM_019475328.1	XM_019475328.1	61	377	19.0	18.0
19	rna-XM_019475328.1	XM_019475328.1	104	334	36.0	18.0
20	rna-XM_019475328.1	XM_019475328.1	169	269	19.0	18.0
21	rna-XM_705238.2	XM_705238.2	31	647	40.0	18.0
22	rna-XM_705238.2	XM_705238.2	53	625	40.0	18.0
23	rna-XM_717669.2	XM_717669.2	12420	2688	35.0	18.0
24	rna-XM_019475360.1	XM_019475360.1	173	538	22.0	18.0
25	rna-XM_019475360.1	XM_019475360.1	348	363	21.0	18.0
26	rna-XM_019475360.1	XM_019475360.1	396	315	33.0	18.0
27	rna-XM_019475360.1	XM_019475360.1	503	208	25.0	18.0
28	rna-XM_019475360.1	XM_019475360.1	513	198	44.0	18.0
29	rna-XM_715396.1	XM_715396.1	56	1663	30.0	18.0
30	rna-XM_705028.2	XM_705028.2	5330	1099	390.0	18.0
31	rna-XM_710304.1	XM_710304.1	85	497	26.0	18.0
32	rna-XM_706264.2	XM_706264.2	2852	301	68.0	18.0
33	rna-XM_706264.2	XM_706264.2	2882	271	23.0	18.0
34	rna-XM_019475419.1	XM_019475419.1	3098	2032	19.0	18.0
35	rna-XM_706938.2	XM_706938.2	408	714	22.0	18.0
36	rna-XM_707011.2	XM_707011.2	1397	670	23.0	18.0
37	rna-XM_716260.1	XM_716260.1	584	1540	19.0	18.0
38	rna-XM_019475491.1	XM_019475491.1	316	77	22.0	18.0
39	rna-XM_705023.2	XM_705023.2	2555	2146	63.0	18.0
40	rna-XM_710148.1	XM_710148.1	1250	781	35.0	18.0
41	rna-XM_710106.1	XM_710106.1	109	824	24.0	18.0
42	rna-XM_713113.2	XM_713113.2	1148	604	29.0	18.0
43	rna-XM_708320.2	XM_708320.2	482	328	20.0	18.0
