	Pro-Arg-Depletion_r1	Pro-Arg-Depletion_r3	Control_r1	Control_r3
ALA	44991	110885	151442	125867
ARG	50249	115747	142056	115752
ASN	36094	87463	135828	107878
ASP	47855	114606	167526	135629
CYS	5519	14218	20649	17211
GLN	29309	70056	110058	88030
GLU	67180	162789	233048	187409
GLY	43970	111009	150441	123729
HIS	12611	30377	45922	37048
ILE	45406	110998	153176	124922
LEU	60047	148716	220263	179267
LYS	86358	201504	249394	202737
PHE	25609	64197	89577	73172
PRO	52737	116139	144413	114650
SER	50147	120478	187397	149626
THR	38436	91649	137131	111023
TRP	8095	21049	26772	21873
TYR	24588	59111	82070	66333
VAL	45005	113634	149163	124107
TERM	615	2751	2827	2369
MET	11315	28538	40958	32985
