	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	84.0	19.0
1	rna-XM_713978.2	XM_713978.2	53	715	34.0	19.0
2	rna-XM_713957.1	XM_713957.1	0	1203	27.0	19.0
3	rna-XM_713954.1	XM_713954.1	91	512	159.0	19.0
4	rna-XM_713954.1	XM_713954.1	127	476	25.0	19.0
5	rna-XM_019475060.1	XM_019475060.1	2611	1625	21.0	19.0
6	rna-XM_707863.2	XM_707863.2	308	3517	63.0	19.0
7	rna-XM_716341.2	XM_716341.2	36	627	24.0	19.0
8	rna-XM_716341.2	XM_716341.2	147	516	44.0	19.0
9	rna-XM_716371.1	XM_716371.1	216	837	27.0	19.0
10	rna-XM_716387.1	XM_716387.1	796	635	21.0	19.0
11	rna-XM_716397.1	XM_716397.1	141	180	26.0	19.0
12	rna-XM_716399.1	XM_716399.1	428	181	32.0	19.0
13	rna-XM_716399.1	XM_716399.1	522	87	46.0	19.0
14	rna-XM_716442.2	XM_716442.2	529	1361	21.0	19.0
15	rna-XM_716442.2	XM_716442.2	582	1308	20.0	19.0
16	rna-XM_716442.2	XM_716442.2	626	1264	23.0	19.0
17	rna-XM_716442.2	XM_716442.2	1833	57	20.0	19.0
18	rna-XM_716447.2	XM_716447.2	619	206	55.0	19.0
19	rna-XM_708542.1	XM_708542.1	178	1103	367.0	19.0
20	rna-XM_708542.1	XM_708542.1	179	1102	23.0	19.0
21	rna-XM_708542.1	XM_708542.1	332	949	32.0	19.0
22	rna-XM_708542.1	XM_708542.1	527	754	29.0	19.0
23	rna-XM_708542.1	XM_708542.1	534	747	27.0	19.0
24	rna-XM_708576.2	XM_708576.2	239	1699	28.0	19.0
25	rna-XM_708576.2	XM_708576.2	629	1309	24.0	19.0
26	rna-XM_019475113.1	XM_019475113.1	58	341	21.0	19.0
27	rna-XM_019475113.1	XM_019475113.1	80	319	38.0	19.0
28	rna-XM_019475113.1	XM_019475113.1	101	298	24.0	19.0
29	rna-XM_019475113.1	XM_019475113.1	128	271	40.0	19.0
30	rna-XM_019475113.1	XM_019475113.1	144	255	27.0	19.0
31	rna-XM_019475113.1	XM_019475113.1	198	201	20.0	19.0
32	rna-XM_019475113.1	XM_019475113.1	203	196	23.0	19.0
33	rna-XM_019475113.1	XM_019475113.1	206	193	36.0	19.0
34	rna-XM_019475113.1	XM_019475113.1	240	159	20.0	19.0
35	rna-XM_019475113.1	XM_019475113.1	261	138	26.0	19.0
36	rna-XM_713748.2	XM_713748.2	42	396	44.0	19.0
37	rna-XM_713748.2	XM_713748.2	57	381	20.0	19.0
38	rna-XM_713748.2	XM_713748.2	60	378	25.0	19.0
39	rna-XM_713748.2	XM_713748.2	62	376	25.0	19.0
40	rna-XM_713748.2	XM_713748.2	65	373	23.0	19.0
41	rna-XM_713748.2	XM_713748.2	120	318	23.0	19.0
42	rna-XM_713748.2	XM_713748.2	144	294	28.0	19.0
43	rna-XM_713748.2	XM_713748.2	208	230	28.0	19.0
44	rna-XM_713748.2	XM_713748.2	209	229	27.0	19.0
45	rna-XM_713748.2	XM_713748.2	211	227	27.0	19.0
46	rna-XM_713748.2	XM_713748.2	229	209	29.0	19.0
