	D	C	pval
0	-14	25035	0.0
10	22	13831	0.0
9	19	13706	0.0
12	28	13526	0.0
11	25	13459	0.0
13	31	13449	0.0
4	4	13356	0.0
8	16	13262	0.0
7	13	13069	0.0
14	34	12922	0.0
6	10	12846	0.0
16	40	12657	0.0
15	37	12463	0.0
5	7	12171	0.0
17	43	12107	0.0
18	46	11968	0.0
19	49	11586	0.0
20	52	11117	0.0
21	55	10986	0.0
22	58	10662	0.0
23	61	10503	0.0
2	-2	10245	0.0
24	64	10008	0.0
3	1	9524	0.0
25	67	9396	0.0
1	-5	9374	0.0
27	73	9244	0.0
26	70	9215	0.0
28	76	8754	4.958460223525307e-07
29	79	8592	0.0008412652408630317
