	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
CYS	70408	162646	60641	1.3116289973130912	1.0	55.37921993905242	-14	1.0	293695	35992	0.01288704642731057	0.03688896226337912
TERM	23419	33129	20713	0.5862695265768956	1.0	42.87933109848436	-17	1.0	77261	6099	0.002183765730166903	0.0572674119723095
ASP	458550	1069253	408507	1.3024045110802374	1.0	55.221168098083474	-14	1.0	1936310	162511	0.05818756395723128	0.053863924280998156
SER	569623	1364859	474170	1.386916285863533	1.0	56.664848222159115	-20	1.0	2408652	250537	0.0897055443087105	0.043461834188076115
GLN	286795	668873	244336	1.3326645737757103	1.0	55.73923086923044	-11	1.0	1200004	109244	0.039115150586383526	0.04965819910104061
LYS	684641	1532147	583270	1.273101241337648	1.0	54.71840226166743	-17	1.0	2800058	203667	0.07292359648563741	0.06215158754343879
ILE	402582	951063	349429	1.3387871457774179	1.0	55.84390343578729	-8	1.0	1703074	182925	0.06549685951644216	0.04208877836372367
PRO	279948	655669	225808	1.374526155725432	1.0	56.453839033945364	-14	1.0	1161425	120430	0.04312033233054601	0.043597576566717505
THR	388734	872538	314850	1.3104952883907912	1.0	55.359800827600914	-14	1.0	1576122	163063	0.05838520925696109	0.043695857680439584
PHE	237980	566172	209405	1.3397235163326153	1.0	55.85990723758013	-20	1.0	1013557	125179	0.044820726403765	0.03660349583237024
ALA	453303	957641	377890	1.2043014160343437	1.0	53.53436931543117	-11	1.0	1788834	153438	0.05493894836946208	0.05270392714206981
GLY	392245	904654	340790	1.3034840309981444	1.0	55.23967004724341	-14	1.0	1637689	139391	0.049909376765649244	0.05311321169755239
HIS	129426	306894	111620	1.3484319509905802	1.0	56.00868708252729	-14	1.0	547940	59383	0.021262266003361403	0.041713510122284074
GLU	640672	1411533	561818	1.2312379612326811	1.0	53.99849197960385	-17	1.0	2614023	182772	0.06544207739532139	0.06465551950833753
LEU	599306	1417363	509091	1.354734582230325	1.0	56.11629766882047	-20	1.0	2525760	267591	0.09581178152173991	0.0426703734587748
ARG	397272	892179	344532	1.2662951432834186	1.0	54.601486061972494	-5	1.0	1633983	123921	0.04437029563010539	0.0596085406886491
TRP	65988	147793	56752	1.267972451366629	1.0	54.630303881596696	-11	1.0	270533	28989	0.010379600713528177	0.04218838295691326
VAL	419981	927913	362611	1.245729183902241	1.0	54.24789755072332	-8	1.0	1710505	156280	0.05595653522060724	0.04947967185583684
ASN	395061	971063	340848	1.4000375183632605	1.0	56.88804502944396	-14	1.0	1706972	170206	0.06094278240183438	0.04533748209813261
TYR	195597	474133	171239	1.3701565822599489	1.0	56.379367134817095	-17	1.0	840969	93158	0.03335550875403973	0.040809915562197076
MET	120628	272977	100500	1.3038976844809125	1.0	55.246759292053305	-11	1.0	494105	58106	0.0208050322211966	0.03844183711675928
